Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,Avg_Trading
2015-05-21,1122.17,1132.26,1118.28,1121.51,1579578,0,0,1123.55
2018-07-30,1825.61,1836.61,1814.85,1827.12,1579251,0,0,1826.05
2012-08-24,551.85,555.36,548.92,553.04,1578938,0,0,552.29
2011-12-23,475.63,480.18,470.72,478.17,1578590,0,0,476.18
2014-08-14,1098.87,1106.74,1088.4,1092.64,1578056,0,0,1096.66
2017-12-20,1197.73,1202.72,1183.19,1200.96,1577570,0,0,1196.15
2012-04-09,484.82,492.28,479.95,482.38,1576628,0,0,484.86
2012-05-29,508.85,517.14,504.88,513.97,1575032,0,0,511.21
2015-07-24,1108.62,1117.05,1106.22,1112.02,1574972,0,0,1110.98
2018-01-30,1478.63,1489.7,1461.75,1466.01,1574758,0,0,1474.02
2014-12-31,1109.28,1124.04,1105.91,1120.47,1573792,0,0,1114.93
2017-03-16,1143.28,1152.86,1143.28,1150.08,1571818,0,0,1147.38
2006-09-08,190.75,190.75,186.77,187.91,1570564,0,0,189.05
2014-11-17,1136.61,1149.71,1135.36,1146.77,1570552,0,0,1142.11
2018-08-24,1912.15,1922.39,1908.3,1919.57,1570533,0,0,1915.6
2015-06-08,1147.21,1147.21,1134.66,1141.66,1570320,0,0,1142.68
2012-03-01,506.78,508.42,501.42,505.37,1568594,0,0,505.5
2015-04-06,1122.6,1124.75,1097.19,1117.91,1568542,0,0,1115.62
2018-02-19,1369.36,1373.22,1346.21,1359.41,1568224,0,0,1362.05
2021-09-21,3858,3871.55,3821.65,3862.95,1568129,0,0,3853.54
2003-02-03,36.29,39.02,36.16,38.8,1566808,0,0,37.57
2015-03-23,1148.06,1154.64,1143.67,1148.56,1566608,0,0,1148.73
2010-11-02,429.95,431.99,425.34,427.69,1565778,0,0,428.74
2015-01-08,1069.73,1072.62,1060.16,1070.34,1565408,0,0,1068.21
2005-12-27,156.65,160.44,154.79,159.98,1565208,0,0,157.96
2017-08-23,1158.86,1164.32,1144.13,1151.67,1562272,0,0,1154.74
2016-06-09,1186.72,1186.72,1156.31,1166.29,1562138,0,0,1174.01
2015-12-22,1090.2,1090.2,1072.33,1074.59,1560858,0,0,1081.83
2019-07-12,1999.56,2016.34,1990.99,2004.79,1560725,0,0,2002.92
2016-07-05,1128.7,1129.99,1120.99,1124.68,1559748,0,0,1126.09
2010-08-30,350.95,350.95,341.72,343.98,1558570,0,0,346.9
2017-04-11,1102.82,1114.59,1097.66,1103.73,1557784,0,0,1104.7
2015-03-16,1134.54,1145.42,1119.97,1124.49,1556296,0,0,1131.11
2013-12-11,884.7,888.04,869.38,875.78,1556062,0,0,879.48
2016-06-03,1187.52,1190.48,1173.68,1177.73,1554922,0,0,1182.35
2014-07-09,1063.06,1064.2,1025.02,1032.14,1554242,0,0,1046.11
2011-11-02,455.07,463.59,454.56,457.39,1550844,0,0,457.65
2015-06-30,1145,1146.66,1125.07,1129.92,1549952,0,0,1136.66
2020-01-27,2134.2,2137.86,2110.13,2114.27,1549101,0,0,2124.12
2016-05-25,1111.2,1134.47,1111.2,1131.56,1548678,0,0,1122.11
2006-10-09,186.77,191.32,185.93,190.02,1546832,0,0,188.51
2021-05-03,3003.62,3033.51,2982.87,3015.64,1545831,0,0,3008.91
2011-12-30,486.79,488.65,477.91,479.62,1545410,0,0,483.24
2010-08-10,359.98,359.98,350.38,351.64,1545194,0,0,355.5
